1
510.1714,199.9948,53.6219,36.0963
505.2686,199.2699,51.6032,37.5459
494.4472,200.1875,49.7023,38.3267
480.8624,200.683,49.7328,38.628
477.8461,200.7833,49.2766,38.4274
459.7701,200.0629,48.0891,38.5808
443.6911,195.385,47.1722,39.0317
439.5455,194.8975,45.3385,40.0067
426.9991,190.2866,44.1088,41.7077
416.7004,189.5073,43.2529,44.5282
409.914,186.2077,42.5957,47.2466
395.8297,176.1279,42.914,48.8393
381.0007,172.6515,44.0918,50.3673
375.7605,172.4991,44.7808,52.0709
360.8545,166.2548,45.8665,53.0691
349.058,181.0693,47.4223,51.3539
344.095,181.6091,48.5468,50.2742
329.2192,167.3371,48.9473,50.9348
320.8506,166.6281,49.3573,50.8685
313.5589,162.561,49.044,50.0647
308.6905,166.1581,49.9488,50.2306
286.0602,163.4687,49.0569,51.1429
246.236,175.5702,49.7726,50.7688
248.187,166.174,48.8597,51.6262
255.0757,161.1995,50.0206,51.1182
250.2912,161.9847,50.5656,51.0518
234.923,156.2619,52.5839,48.8943
226.1,157.8467,52.1294,48.7414
226.2836,161.7925,53.261,48.3443
223.1057,151.0834,53.5768,47.1126
198.9131,148.0279,54.1231,47.2436
206.5669,155.4144,53.8703,47.5254
192.612,153.9055,54.6692,47.5309
191.1717,127.0495,51.4759,51.1322
165.4782,150.7309,52.4732,49.5782
148.8992,150.8604,53.7606,47.8015
146.1166,159.5527,54.7991,47.0151
144.3559,167.367,55.2963,46.5078
160.882,179.1476,55.4965,45.6188
162.3515,186.3056,58.5578,43.3031
162.1784,185.4435,60.4121,42.0108
166.6571,173.1806,60.5417,42.3045
168.8327,174.5357,60.7547,42.637
172.6116,175.8059,60.8474,43.1568
146.946,157.0838,58.2719,45.1766
110.0346,133.8135,56.8842,45.6699
2
0
0
0
0
1
158.5081,178.7594,36.2674,36.0093
163.1585,179.7343,35.36,38.2564
167.7573,181.4146,34.7279,40.2491
168.4672,179.9115,34.4002,42.1632
169.601,178.3084,35.4824,43.1362
170.0953,178.4252,35.6428,44.0517
169.8212,177.2275,36.1911,44.1155
177.4503,179.6888,37.3907,43.895
174.6128,180.9484,37.1094,44.9498
177.6853,177.663,36.9803,45.5045
175.6499,174.9942,37.422,46.0031
180.087,177.0185,37.1195,46.8528
180.7764,179.8624,36.9735,47.3292
184.1121,180.6907,36.4914,48.1483
186.8595,179.6733,35.9672,48.9403
189.612,179.7519,35.4475,50.0295
194.4915,182.8671,34.4698,51.3259
198.7796,183.7229,33.4426,53.3888
201.2087,189.1875,33.6734,53.9102
204.0224,189.056,33.1819,55.4571
207.3963,192.4933,34.2278,55.0773
210.7437,199.3952,35.3973,54.3807
214.6126,201.2922,36.897,53.226
218.3464,201.903,37.3906,53.3313
219.6023,204.9888,37.5517,53.8423
223.9027,206.0577,38.3795,53.0515
224.3441,210.3299,38.8452,52.5974
224.9932,211.9839,40.2451,51.9876
227.4698,217.1604,42.1036,51.1711
231.5713,221.6863,43.5578,50.3969
232.5576,224.6276,44.3669,50.0773
239.5675,226.8777,45.7316,49.7729
245.5636,227.4024,46.4778,50.139
245.2307,229.4101,47.1438,50.4223
248.6085,224.8472,47.6274,50.8608
253.9603,229.3045,48.6228,50.7206
257.3339,232.4173,49.2547,50.3981
266.3168,237.8393,49.0563,51.399
270.1328,241.8595,48.8908,52.3186
272.7816,241.838,49.6141,52.3616
277.4569,243.5979,49.3673,53.3936
283.3486,248.8339,49.8213,53.6293
288.1108,246.8213,49.54,54.5735
299.3534,247.7346,48.768,55.8487
306.864,250.4061,49.3333,56.7404
265.7511,238.913,49.3183,57.5848
265.159,239.7727,50.5026,57.46
264.8204,242.0405,52.7912,56.147
263.537,244.7279,53.731,55.6531
264.888,245.8467,54.2968,55.0495
266.5162,249.7096,54.3068,55.4898
264.4538,247.2289,53.5104,57.1704
